Building probod binary...
=== RUN   TestAudit_UploadReport_RBAC
=== PAUSE TestAudit_UploadReport_RBAC
=== RUN   TestAudit_DeleteReport
=== PAUSE TestAudit_DeleteReport
=== RUN   TestAudit_DeleteReport_RBAC
=== PAUSE TestAudit_DeleteReport_RBAC
=== RUN   TestContinualImprovement_Create
=== PAUSE TestContinualImprovement_Create
=== RUN   TestContinualImprovement_Update
=== PAUSE TestContinualImprovement_Update
=== RUN   TestContinualImprovement_Delete
=== PAUSE TestContinualImprovement_Delete
=== RUN   TestContinualImprovement_List
=== PAUSE TestContinualImprovement_List
=== RUN   TestContinualImprovement_StatusAndPriorityValues
=== PAUSE TestContinualImprovement_StatusAndPriorityValues
=== RUN   TestControl_RequiredFields
=== PAUSE TestControl_RequiredFields
=== RUN   TestControl_OmittableDescription
=== PAUSE TestControl_OmittableDescription
=== RUN   TestControl_SubResolvers
=== PAUSE TestControl_SubResolvers
=== RUN   TestControl_ExclusionJustification
=== PAUSE TestControl_ExclusionJustification
=== RUN   TestControl_Create
=== PAUSE TestControl_Create
=== RUN   TestControl_Update
=== PAUSE TestControl_Update
=== RUN   TestControl_Delete
=== PAUSE TestControl_Delete
=== RUN   TestControl_List
=== PAUSE TestControl_List
=== RUN   TestDatum_Create
=== PAUSE TestDatum_Create
=== RUN   TestDatum_Update
=== PAUSE TestDatum_Update
=== RUN   TestDatum_Delete
=== PAUSE TestDatum_Delete
=== RUN   TestDatum_List
=== PAUSE TestDatum_List
=== RUN   TestDatum_DataClassification
=== PAUSE TestDatum_DataClassification
=== RUN   TestDocument_Create
=== PAUSE TestDocument_Create
=== RUN   TestDocument_Update
=== PAUSE TestDocument_Update
=== RUN   TestDocument_Delete
=== PAUSE TestDocument_Delete
=== RUN   TestDocument_List
=== PAUSE TestDocument_List
=== RUN   TestDocument_Types
=== PAUSE TestDocument_Types
=== RUN   TestDocumentVersion_PublishVersion
=== PAUSE TestDocumentVersion_PublishVersion
=== RUN   TestDocumentVersion_CreateDraft
=== PAUSE TestDocumentVersion_CreateDraft
=== RUN   TestDocumentVersion_UpdateContent
=== PAUSE TestDocumentVersion_UpdateContent
=== RUN   TestDocumentVersion_RequestSignature
=== PAUSE TestDocumentVersion_RequestSignature
=== RUN   TestDocumentVersion_BulkPublish
=== PAUSE TestDocumentVersion_BulkPublish
=== RUN   TestDocumentVersion_BulkRequestSignatures
=== PAUSE TestDocumentVersion_BulkRequestSignatures
=== RUN   TestDocumentVersion_BulkDelete
=== PAUSE TestDocumentVersion_BulkDelete
=== RUN   TestFramework_Create
=== PAUSE TestFramework_Create
=== RUN   TestFramework_Create_Validation
=== PAUSE TestFramework_Create_Validation
=== RUN   TestFramework_Update
=== PAUSE TestFramework_Update
=== RUN   TestFramework_Update_Validation
=== PAUSE TestFramework_Update_Validation
=== RUN   TestFramework_Delete
=== PAUSE TestFramework_Delete
=== RUN   TestFramework_Delete_Validation
=== PAUSE TestFramework_Delete_Validation
=== RUN   TestFramework_List
=== PAUSE TestFramework_List
=== RUN   TestFramework_Query
=== PAUSE TestFramework_Query
=== RUN   TestFramework_Timestamps
=== PAUSE TestFramework_Timestamps
=== RUN   TestFramework_OmittableDescription
=== PAUSE TestFramework_OmittableDescription
=== RUN   TestFramework_SubResolvers
=== PAUSE TestFramework_SubResolvers
=== RUN   TestFramework_RBAC
=== PAUSE TestFramework_RBAC
=== RUN   TestFramework_MaxLength_Validation
=== PAUSE TestFramework_MaxLength_Validation
=== RUN   TestFramework_SubResolvers_WithData
=== PAUSE TestFramework_SubResolvers_WithData
=== RUN   TestFramework_Pagination
=== PAUSE TestFramework_Pagination
=== RUN   TestFramework_TenantIsolation
=== PAUSE TestFramework_TenantIsolation
=== RUN   TestFramework_Ordering
=== PAUSE TestFramework_Ordering
=== RUN   TestFramework_DuplicateName
=== PAUSE TestFramework_DuplicateName
=== RUN   TestControlMeasureMapping_CreateDelete
=== PAUSE TestControlMeasureMapping_CreateDelete
=== RUN   TestRiskMeasureMapping_CreateDelete
=== PAUSE TestRiskMeasureMapping_CreateDelete
=== RUN   TestControlDocumentMapping_CreateDelete
=== PAUSE TestControlDocumentMapping_CreateDelete
=== RUN   TestControlAuditMapping_CreateDelete
=== PAUSE TestControlAuditMapping_CreateDelete
=== RUN   TestControlSnapshotMapping_CreateDelete
=== PAUSE TestControlSnapshotMapping_CreateDelete
=== RUN   TestRiskDocumentMapping_CreateDelete
=== PAUSE TestRiskDocumentMapping_CreateDelete
=== RUN   TestRiskObligationMapping_CreateDelete
=== PAUSE TestRiskObligationMapping_CreateDelete
=== RUN   TestMeasure_Create
=== PAUSE TestMeasure_Create
=== RUN   TestMeasure_Create_Validation
=== PAUSE TestMeasure_Create_Validation
=== RUN   TestMeasure_Update
=== PAUSE TestMeasure_Update
=== RUN   TestMeasure_Update_Validation
=== PAUSE TestMeasure_Update_Validation
=== RUN   TestMeasure_Delete
=== PAUSE TestMeasure_Delete
=== RUN   TestMeasure_Delete_Validation
=== PAUSE TestMeasure_Delete_Validation
=== RUN   TestMeasure_List
=== PAUSE TestMeasure_List
=== RUN   TestMeasure_Query
=== PAUSE TestMeasure_Query
=== RUN   TestMeasure_Timestamps
=== PAUSE TestMeasure_Timestamps
=== RUN   TestMeasure_OmittableDescription
=== PAUSE TestMeasure_OmittableDescription
=== RUN   TestMeasure_SubResolvers
=== PAUSE TestMeasure_SubResolvers
=== RUN   TestMeasure_RBAC
=== PAUSE TestMeasure_RBAC
=== RUN   TestMeasure_MaxLength_Validation
=== PAUSE TestMeasure_MaxLength_Validation
=== RUN   TestMeasure_SubResolvers_WithData
=== PAUSE TestMeasure_SubResolvers_WithData
=== RUN   TestMeasure_Pagination
=== PAUSE TestMeasure_Pagination
=== RUN   TestMeasure_Filtering
=== PAUSE TestMeasure_Filtering
=== RUN   TestMeasure_TenantIsolation
=== PAUSE TestMeasure_TenantIsolation
=== RUN   TestMeasure_Ordering
=== PAUSE TestMeasure_Ordering
=== RUN   TestMeeting_Create
=== PAUSE TestMeeting_Create
=== RUN   TestMeeting_Update
=== PAUSE TestMeeting_Update
=== RUN   TestMeeting_Delete
=== PAUSE TestMeeting_Delete
=== RUN   TestMeeting_List
=== PAUSE TestMeeting_List
=== RUN   TestMeeting_WithAttendees
=== PAUSE TestMeeting_WithAttendees
=== RUN   TestMember_UpdateMembership
=== PAUSE TestMember_UpdateMembership
=== RUN   TestMember_RemoveMember
=== PAUSE TestMember_RemoveMember
=== RUN   TestInvitation_Delete
=== PAUSE TestInvitation_Delete
=== RUN   TestMember_List
=== PAUSE TestMember_List
=== RUN   TestNonconformity_Create
=== PAUSE TestNonconformity_Create
=== RUN   TestNonconformity_Update
=== PAUSE TestNonconformity_Update
=== RUN   TestNonconformity_Delete
=== PAUSE TestNonconformity_Delete
=== RUN   TestNonconformity_List
=== PAUSE TestNonconformity_List
=== RUN   TestNonconformity_StatusValues
=== PAUSE TestNonconformity_StatusValues
=== RUN   TestObligation_Create
=== PAUSE TestObligation_Create
=== RUN   TestObligation_Update
=== PAUSE TestObligation_Update
=== RUN   TestObligation_Delete
=== PAUSE TestObligation_Delete
=== RUN   TestObligation_List
=== PAUSE TestObligation_List
=== RUN   TestObligation_StatusValues
=== PAUSE TestObligation_StatusValues
=== RUN   TestOrganization_Update
=== PAUSE TestOrganization_Update
=== RUN   TestOrganization_UpdateContext
    organization_test.go:140: updateOrganizationContext mutation not implemented
--- SKIP: TestOrganization_UpdateContext (0.00s)
=== RUN   TestOrganization_Get
=== PAUSE TestOrganization_Get
=== RUN   TestPeople_RequiredFields
=== PAUSE TestPeople_RequiredFields
=== RUN   TestPeople_DuplicatePrimaryEmail
    people_edge_cases_test.go:134: Duplicate email validation may not be implemented yet
--- SKIP: TestPeople_DuplicatePrimaryEmail (0.00s)
=== RUN   TestPeople_OmittablePosition
    people_edge_cases_test.go:189: Omittable position behavior not implemented as expected
--- SKIP: TestPeople_OmittablePosition (0.00s)
=== RUN   TestPeople_OmittableContractDates
    people_edge_cases_test.go:322: Omittable contract dates behavior not implemented as expected
--- SKIP: TestPeople_OmittableContractDates (0.00s)
=== RUN   TestPeople_KindEnum
=== PAUSE TestPeople_KindEnum
=== RUN   TestPeople_SubResolvers
=== PAUSE TestPeople_SubResolvers
=== RUN   TestPeople_InvalidID
    people_edge_cases_test.go:527: Invalid ID handling needs review
--- SKIP: TestPeople_InvalidID (0.00s)
=== RUN   TestPeople_Create
=== PAUSE TestPeople_Create
=== RUN   TestPeople_Update
    people_test.go:125: updatePeople has server bug with additional_email_addresses null constraint
--- SKIP: TestPeople_Update (0.00s)
=== RUN   TestPeople_Delete
=== PAUSE TestPeople_Delete
=== RUN   TestPeople_List
=== PAUSE TestPeople_List
=== RUN   TestProcessingActivity_Create
=== PAUSE TestProcessingActivity_Create
=== RUN   TestProcessingActivity_Update
=== PAUSE TestProcessingActivity_Update
=== RUN   TestProcessingActivity_Delete
=== PAUSE TestProcessingActivity_Delete
=== RUN   TestProcessingActivity_List
=== PAUSE TestProcessingActivity_List
=== RUN   TestProcessingActivity_LawfulBasis
=== PAUSE TestProcessingActivity_LawfulBasis
=== RUN   TestRBAC
=== PAUSE TestRBAC
=== RUN   TestRisk_RequiredFields
=== PAUSE TestRisk_RequiredFields
=== RUN   TestRisk_OmittableFields
=== PAUSE TestRisk_OmittableFields
=== RUN   TestRisk_OmittableOwnerId
=== PAUSE TestRisk_OmittableOwnerId
=== RUN   TestRisk_SubResolvers
=== PAUSE TestRisk_SubResolvers
=== RUN   TestRisk_TreatmentEnum
=== PAUSE TestRisk_TreatmentEnum
=== RUN   TestRisk_InvalidID
=== PAUSE TestRisk_InvalidID
=== RUN   TestRisk_Create
=== PAUSE TestRisk_Create
=== RUN   TestRisk_Update
=== PAUSE TestRisk_Update
=== RUN   TestRisk_Delete
=== PAUSE TestRisk_Delete
=== RUN   TestRisk_List
=== PAUSE TestRisk_List
=== RUN   TestSnapshot_Create
=== PAUSE TestSnapshot_Create
=== RUN   TestSnapshot_Delete
=== PAUSE TestSnapshot_Delete
=== RUN   TestSnapshot_List
=== PAUSE TestSnapshot_List
=== RUN   TestSnapshot_Types
=== PAUSE TestSnapshot_Types
=== RUN   TestTask_Assign
=== PAUSE TestTask_Assign
=== RUN   TestTask_Unassign
=== PAUSE TestTask_Unassign
=== RUN   TestTask_RequiredFields
=== PAUSE TestTask_RequiredFields
=== RUN   TestTask_OmittableFields
    task_edge_cases_test.go:128: Omittable fields behavior needs review
--- SKIP: TestTask_OmittableFields (0.00s)
=== RUN   TestTask_OmittableDeadline
    task_edge_cases_test.go:334: Omittable deadline behavior needs review
--- SKIP: TestTask_OmittableDeadline (0.00s)
=== RUN   TestTask_OmittableAssignee
    task_edge_cases_test.go:442: Omittable assignee behavior needs review
--- SKIP: TestTask_OmittableAssignee (0.00s)
=== RUN   TestTask_SubResolvers
    task_edge_cases_test.go:623: Task sub-resolvers need review
--- SKIP: TestTask_SubResolvers (0.00s)
=== RUN   TestTask_StateEnum
    task_edge_cases_test.go:735: Task state enum needs review
--- SKIP: TestTask_StateEnum (0.00s)
=== RUN   TestTask_InvalidID
=== PAUSE TestTask_InvalidID
=== RUN   TestTask_Create
=== PAUSE TestTask_Create
=== RUN   TestTask_Update
=== PAUSE TestTask_Update
=== RUN   TestTask_Delete
=== PAUSE TestTask_Delete
=== RUN   TestTask_ListByMeasure
=== PAUSE TestTask_ListByMeasure
=== RUN   TestVendorContact_Create
=== PAUSE TestVendorContact_Create
=== RUN   TestVendorContact_Update
=== PAUSE TestVendorContact_Update
=== RUN   TestVendorContact_Delete
=== PAUSE TestVendorContact_Delete
=== RUN   TestVendorContact_List
=== PAUSE TestVendorContact_List
=== RUN   TestVendor_RequiredFields
=== PAUSE TestVendor_RequiredFields
=== RUN   TestVendor_OmittableFields
=== PAUSE TestVendor_OmittableFields
=== RUN   TestVendor_OmittableOwners
=== PAUSE TestVendor_OmittableOwners
=== RUN   TestVendor_SubResolvers
=== PAUSE TestVendor_SubResolvers
=== RUN   TestVendor_CategoryEnum
=== PAUSE TestVendor_CategoryEnum
=== RUN   TestVendor_InvalidID
=== PAUSE TestVendor_InvalidID
=== RUN   TestVendorService_Create
=== PAUSE TestVendorService_Create
=== RUN   TestVendorService_Update
=== PAUSE TestVendorService_Update
=== RUN   TestVendorService_Delete
=== PAUSE TestVendorService_Delete
=== RUN   TestVendorService_List
=== PAUSE TestVendorService_List
=== RUN   TestVendor_Create
=== PAUSE TestVendor_Create
=== RUN   TestVendor_Update
=== PAUSE TestVendor_Update
=== RUN   TestVendor_Delete
=== PAUSE TestVendor_Delete
=== RUN   TestVendor_List
=== PAUSE TestVendor_List
=== RUN   TestVendor_CreateContact
=== PAUSE TestVendor_CreateContact
=== CONT  TestAsset_Create
=== CONT  TestMeasure_List
=== CONT  TestDocument_Create
=== CONT  TestFramework_OmittableDescription
=== CONT  TestVendor_CreateContact
=== CONT  TestFramework_List
=== CONT  TestFramework_Timestamps
=== CONT  TestFramework_Create
=== CONT  TestFramework_Query
=== CONT  TestDocumentVersion_BulkDelete
=== CONT  TestFramework_Delete_Validation
=== CONT  TestDocumentVersion_BulkRequestSignatures
=== CONT  TestFramework_Delete
=== CONT  TestFramework_Update_Validation
=== CONT  TestFramework_Update
=== CONT  TestFramework_Create_Validation
=== RUN   TestFramework_Create/with_full_details
=== RUN   TestFramework_Timestamps/createdAt_and_updatedAt_are_set_on_create
=== RUN   TestFramework_Create_Validation/missing_name
=== RUN   TestFramework_Delete_Validation/invalid_ID_format
=== RUN   TestFramework_Update/update_name
=== RUN   TestFramework_Delete/delete_existing_framework
=== RUN   TestFramework_Query/query_with_non-existent_ID_returns_nil
=== NAME  TestFramework_Delete_Validation/invalid_ID_format
    framework_test.go:544: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:544
        	Error:      	"illegal base64 data at input byte 16" does not contain "id"
        	Test:       	TestFramework_Delete_Validation/invalid_ID_format
--- FAIL: TestFramework_Delete_Validation (0.12s)
    --- FAIL: TestFramework_Delete_Validation/invalid_ID_format (0.01s)
=== CONT  TestDocumentVersion_BulkPublish
=== RUN   TestFramework_Create_Validation/empty_name
=== NAME  TestFramework_Query/query_with_non-existent_ID_returns_nil
    framework_test.go:623: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:623
        	Error:      	Received unexpected error:
        	            	invalid length for GID: got 32, want 24
        	Test:       	TestFramework_Query/query_with_non-existent_ID_returns_nil
--- FAIL: TestFramework_Query (0.12s)
    --- FAIL: TestFramework_Query/query_with_non-existent_ID_returns_nil (0.01s)
=== CONT  TestDocumentVersion_RequestSignature
=== RUN   TestFramework_Update_Validation/invalid_ID_format
=== RUN   TestFramework_Create/with_name_only
=== RUN   TestFramework_OmittableDescription/update_with_new_description
=== RUN   TestFramework_Timestamps/updatedAt_changes_on_update
=== RUN   TestFramework_Create_Validation/missing_organizationId
=== NAME  TestFramework_Update_Validation/invalid_ID_format
    framework_test.go:480: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:480
        	Error:      	"illegal base64 data at input byte 16" does not contain "id"
        	Test:       	TestFramework_Update_Validation/invalid_ID_format
=== RUN   TestFramework_Update_Validation/empty_name
--- PASS: TestFramework_Create (0.14s)
    --- PASS: TestFramework_Create/with_full_details (0.02s)
    --- PASS: TestFramework_Create/with_name_only (0.01s)
=== RUN   TestFramework_Update/update_name_and_description
=== CONT  TestDocumentVersion_UpdateContent
--- PASS: TestDocument_Create (0.14s)
=== CONT  TestDocumentVersion_CreateDraft
=== RUN   TestFramework_OmittableDescription/update_with_null_description_clears_it
--- PASS: TestFramework_Delete (0.14s)
    --- PASS: TestFramework_Delete/delete_existing_framework (0.03s)
=== CONT  TestDocumentVersion_PublishVersion
=== RUN   TestFramework_Create_Validation/name_with_HTML_tags
--- PASS: TestAsset_Create (0.15s)
=== CONT  TestDocument_Types
=== RUN   TestFramework_Update_Validation/name_with_HTML_tags
=== NAME  TestFramework_Update
    factory.go:466: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/internal/factory/factory.go:177
        	            				/Users/gearnode/Developer/probo/probo/e2e/internal/factory/factory.go:466
        	            				/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:279
        	            				/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:295
        	Error:      	Received unexpected error:
        	            	cannot create framework: cannot insert framework: framework with reference ID "framework-to-update" already exists for organization Hdq8LCSOAAwAAAAAAZrUbs3rb3AWASAU
        	Test:       	TestFramework_Update
        	Messages:   	createFramework mutation failed
=== NAME  TestFramework_Update/update_name_and_description
    testing.go:1811: test executed panic(nil) or runtime.Goexit: subtest may have called FailNow on a parent test
--- FAIL: TestFramework_Update (0.15s)
    --- PASS: TestFramework_Update/update_name (0.03s)
    --- FAIL: TestFramework_Update/update_name_and_description (0.01s)
=== CONT  TestDocument_List
=== RUN   TestFramework_OmittableDescription/set_description_again
=== RUN   TestFramework_Create_Validation/name_with_angle_brackets
--- PASS: TestVendor_CreateContact (0.15s)
=== CONT  TestDocument_Delete
=== RUN   TestFramework_Update_Validation/name_with_angle_brackets
=== NAME  TestFramework_Create_Validation/name_with_angle_brackets
    framework_test.go:241: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:241
        	Error:      	"cannot create framework: name must not contain HTML tags" does not contain "angle brackets"
        	Test:       	TestFramework_Create_Validation/name_with_angle_brackets
=== RUN   TestFramework_Create_Validation/description_with_HTML_tags
--- PASS: TestFramework_List (0.16s)
=== CONT  TestDocument_Update
=== RUN   TestFramework_OmittableDescription/update_without_description_preserves_it
=== NAME  TestFramework_Update_Validation/name_with_angle_brackets
    framework_test.go:480: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:480
        	Error:      	"cannot update framework: name must not contain HTML tags" does not contain "angle brackets"
        	Test:       	TestFramework_Update_Validation/name_with_angle_brackets
=== RUN   TestFramework_Update_Validation/description_with_HTML_tags
--- PASS: TestMeasure_List (0.17s)
=== CONT  TestControlAuditMapping_CreateDelete
=== NAME  TestFramework_Create_Validation/description_with_HTML_tags
    framework_test.go:240: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:240
        	Error:      	An error is expected but got nil.
        	Test:       	TestFramework_Create_Validation/description_with_HTML_tags
=== RUN   TestFramework_Create_Validation/name_with_newline
=== NAME  TestFramework_Timestamps/updatedAt_changes_on_update
    framework_test.go:734: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/framework_test.go:734
        	Error:      	Should be true
        	Test:       	TestFramework_Timestamps/updatedAt_changes_on_update
        	Messages:   	updatedAt should be after initial value
--- FAIL: TestFramework_Timestamps (0.18s)
    --- PASS: TestFramework_Timestamps/createdAt_and_updatedAt_are_set_on_create (0.02s)
    --- FAIL: TestFramework_Timestamps/updatedAt_changes_on_update (0.05s)
=== CONT  TestMeasure_Delete_Validation
=== RUN   TestFramework_Update_Validation/name_with_newline
--- PASS: TestFramework_OmittableDescription (0.18s)
    --- PASS: TestFramework_OmittableDescription/update_with_new_description (0.01s)
    --- PASS: TestFramework_OmittableDescription/update_with_null_description_clears_it (0.01s)
    --- PASS: TestFramework_OmittableDescription/set_description_again (0.01s)
    --- PASS: TestFramework_OmittableDescription/update_without_description_preserves_it (0.02s)
=== CONT  TestMeasure_Delete
=== RUN   TestFramework_Create_Validation/name_with_carriage_return
--- PASS: TestDocumentVersion_BulkDelete (0.19s)
=== CONT  TestMeasure_Update_Validation
=== RUN   TestFramework_Update_Validation/name_with_carriage_return
=== RUN   TestFramework_Create_Validation/name_with_null_byte
=== RUN   TestFramework_Update_Validation/name_with_null_byte
=== RUN   TestFramework_Create_Validation/name_with_tab_character
=== RUN   TestFramework_Update_Validation/name_with_tab_character
--- PASS: TestDocumentVersion_BulkRequestSignatures (0.21s)
=== CONT  TestMeasure_Update
=== RUN   TestFramework_Create_Validation/name_with_zero-width_space
=== RUN   TestFramework_Update_Validation/description_with_null_byte
=== RUN   TestFramework_Create_Validation/name_with_zero-width_joiner
=== RUN   TestFramework_Update_Validation/name_with_zero-width_space
=== RUN   TestFramework_Create_Validation/name_with_right-to-left_override
=== RUN   TestFramework_Update_Validation/description_with_zero-width_joiner
=== RUN   TestDocument_Types/POLICY
--- FAIL: TestFramework_Create_Validation (0.24s)
    --- PASS: TestFramework_Create_Validation/missing_name (0.01s)
    --- PASS: TestFramework_Create_Validation/empty_name (0.01s)
    --- PASS: TestFramework_Create_Validation/missing_organizationId (0.01s)
    --- PASS: TestFramework_Create_Validation/name_with_HTML_tags (0.01s)
    --- FAIL: TestFramework_Create_Validation/name_with_angle_brackets (0.01s)
    --- FAIL: TestFramework_Create_Validation/description_with_HTML_tags (0.01s)
    --- PASS: TestFramework_Create_Validation/name_with_newline (0.01s)
    --- PASS: TestFramework_Create_Validation/name_with_carriage_return (0.01s)
    --- PASS: TestFramework_Create_Validation/name_with_null_byte (0.01s)
    --- PASS: TestFramework_Create_Validation/name_with_tab_character (0.01s)
    --- PASS: TestFramework_Create_Validation/name_with_zero-width_space (0.01s)
    --- PASS: TestFramework_Create_Validation/name_with_zero-width_joiner (0.01s)
    --- PASS: TestFramework_Create_Validation/name_with_right-to-left_override (0.01s)
=== CONT  TestMeasure_Create_Validation
=== RUN   TestFramework_Update_Validation/name_with_right-to-left_override
=== RUN   TestFramework_Update_Validation/description_with_left-to-right_override
=== RUN   TestDocument_Types/PROCEDURE
--- FAIL: TestFramework_Update_Validation (0.26s)
    --- FAIL: TestFramework_Update_Validation/invalid_ID_format (0.01s)
    --- PASS: TestFramework_Update_Validation/empty_name (0.01s)
    --- PASS: TestFramework_Update_Validation/name_with_HTML_tags (0.01s)
    --- FAIL: TestFramework_Update_Validation/name_with_angle_brackets (0.01s)
    --- PASS: TestFramework_Update_Validation/description_with_HTML_tags (0.01s)
    --- PASS: TestFramework_Update_Validation/name_with_newline (0.01s)
    --- PASS: TestFramework_Update_Validation/name_with_carriage_return (0.01s)
    --- PASS: TestFramework_Update_Validation/name_with_null_byte (0.01s)
    --- PASS: TestFramework_Update_Validation/name_with_tab_character (0.01s)
    --- PASS: TestFramework_Update_Validation/description_with_null_byte (0.01s)
    --- PASS: TestFramework_Update_Validation/name_with_zero-width_space (0.01s)
    --- PASS: TestFramework_Update_Validation/description_with_zero-width_joiner (0.01s)
    --- PASS: TestFramework_Update_Validation/name_with_right-to-left_override (0.01s)
    --- PASS: TestFramework_Update_Validation/description_with_left-to-right_override (0.01s)
=== CONT  TestMeasure_Create
=== RUN   TestDocument_Types/ISMS
=== RUN   TestMeasure_Delete_Validation/invalid_ID_format
--- PASS: TestDocumentVersion_UpdateContent (0.13s)
=== CONT  TestRiskObligationMapping_CreateDelete
--- PASS: TestDocument_Delete (0.11s)
=== CONT  TestRiskDocumentMapping_CreateDelete
=== RUN   TestMeasure_Delete/delete_existing_measure
=== NAME  TestMeasure_Delete_Validation/invalid_ID_format
    measure_test.go:658: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/measure_test.go:658
        	Error:      	"illegal base64 data at input byte 16" does not contain "id"
        	Test:       	TestMeasure_Delete_Validation/invalid_ID_format
--- FAIL: TestMeasure_Delete_Validation (0.09s)
    --- FAIL: TestMeasure_Delete_Validation/invalid_ID_format (0.01s)
=== CONT  TestControlSnapshotMapping_CreateDelete
--- PASS: TestDocumentVersion_PublishVersion (0.13s)
=== CONT  TestAudit_UploadReport_RBAC
=== RUN   TestAudit_UploadReport_RBAC/owner_can_upload
=== RUN   TestDocument_Types/OTHER
--- PASS: TestDocumentVersion_BulkPublish (0.16s)
=== CONT  TestDatum_DataClassification
--- PASS: TestDocumentVersion_CreateDraft (0.14s)
=== CONT  TestDatum_List
--- PASS: TestDocument_Update (0.12s)
=== CONT  TestDatum_Delete
=== RUN   TestMeasure_Update_Validation/invalid_ID_format
--- PASS: TestDocumentVersion_RequestSignature (0.17s)
=== CONT  TestDatum_Update
--- PASS: TestDocument_Types (0.14s)
    --- PASS: TestDocument_Types/POLICY (0.01s)
    --- PASS: TestDocument_Types/PROCEDURE (0.01s)
    --- PASS: TestDocument_Types/ISMS (0.01s)
    --- PASS: TestDocument_Types/OTHER (0.02s)
=== CONT  TestDatum_Create
=== RUN   TestControlAuditMapping_CreateDelete/create_mapping
--- PASS: TestMeasure_Delete (0.11s)
    --- PASS: TestMeasure_Delete/delete_existing_measure (0.03s)
=== CONT  TestControl_List
=== NAME  TestMeasure_Update_Validation/invalid_ID_format
    measure_test.go:594: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/measure_test.go:594
        	Error:      	"illegal base64 data at input byte 16" does not contain "id"
        	Test:       	TestMeasure_Update_Validation/invalid_ID_format
=== RUN   TestMeasure_Update_Validation/empty_name
=== NAME  TestDocument_List
    document_test.go:294: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/document_test.go:294
        	Error:      	"0" is not greater than or equal to "3"
        	Test:       	TestDocument_List
--- FAIL: TestDocument_List (0.14s)
=== CONT  TestControl_Delete
=== RUN   TestMeasure_Update/update_name_and_description
=== RUN   TestMeasure_Update_Validation/empty_category
=== RUN   TestMeasure_Update_Validation/name_with_HTML_tags
=== RUN   TestControlAuditMapping_CreateDelete/delete_mapping
=== RUN   TestMeasure_Update_Validation/name_with_angle_brackets
    measure_test.go:594: 
        	Error Trace:	/Users/gearnode/Developer/probo/probo/e2e/console/measure_test.go:594
        	Error:      	"name must not contain HTML tags" does not contain "angle brackets"
        	Test:       	TestMeasure_Update_Validation/name_with_angle_brackets
=== RUN   TestMeasure_Update_Validation/description_with_HTML_tags
